 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s220ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s219ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s226ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s224ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s225ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s226ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s319ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s292ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s272ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s269ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 13ms | Tot: 1s233ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s255ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s360ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s271ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
